City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,puntarenas,9.9763,-84.8384,29.12,57,100,1.87,CR,1744984230
303,nefteyugansk,61.0998,72.6035,-7.92,82,100,3.75,RU,1744984230
304,camocim,-2.9022,-40.8411,30.15,64,18,5.07,BR,1744984230
305,rosetta,31.4044,30.4164,22.44,55,0,5.86,EG,1744984230
306,necochea,-38.5473,-58.7368,15.31,64,2,8.54,AR,1744984230
307,saldanha,-33.0117,17.9442,32.03,46,2,5.36,ZA,1744984230
308,kimbe,-5.5502,150.1429,24.2,98,100,1.12,PG,1744984231
309,bonthe,7.5264,-12.505,31.36,64,88,3.74,SL,1744984231
310,tvoroyri,61.5556,-6.8111,5.4,73,100,8.15,FO,1744984231
311,labuan,5.2767,115.2417,27.2,88,20,0.0,MY,1744984231
312,praia da vitoria,38.7333,-27.0667,17.14,67,40,5.33,PT,1744984231
313,antsiranana,-12.2787,49.2917,31.42,58,40,8.23,MG,1744984231
314,mapimi,25.8167,-103.85,23.11,19,25,0.87,MX,1744984231
315,akureyri,65.6835,-18.0878,2.96,52,40,3.09,IS,1744984161
316,rocky mountain house,52.3668,-114.9188,-5.94,73,94,1.03,CA,1744984232
317,boden,65.8252,21.6886,11.52,69,94,4.34,SE,1744984232
318,evinayong,1.4368,10.5512,25.04,85,95,1.37,GQ,1744984232
319,coronel oviedo,-25.4167,-56.45,25.78,83,98,0.78,PY,1744984013
320,bafoulabe,13.8065,-10.8321,39.59,23,15,3.44,ML,1744984233
321,wotho,10.1657,166.0102,27.31,73,25,8.82,MH,1744984233
322,calcot,51.4406,-1.0509,15.75,55,40,9.26,GB,1744984233
323,hope,33.6671,-93.5916,21.21,82,94,5.43,US,1744984122
324,sechura,-5.5569,-80.8222,22.92,66,76,5.06,PE,1744984233
325,naze,28.3667,129.4833,18.51,84,89,2.96,JP,1744984233
326,saint-pierre,-21.3393,55.4781,27.82,74,20,6.17,RE,1744984234
327,ghat,24.9647,10.1728,37.82,6,5,7.42,LY,1744984234
